sex,sample,ID
m,25.1.1/+,gepd_1
m,25.1.1/+,gepd_2
m,25.1.1/+,gepd_3
m,25.1.1/+,gepd_4
m,25.1.1/+,gepd_5
m,25.1.1/+,gepd_6
m,25.1.1/+,gepd_7
m,25.1.1/+,gepd_8
m,25.1.1/+,gepd_9
m,25.1.1/+,gepd_10
m,25.1.1/+,gepd_11
m,25.1.1/+,gepd_12
m,132.1.1/+,loxp_1
m,132.1.1/+,loxp_2
m,132.1.1/+,loxp_3
m,132.1.1/+,loxp_4
m,132.1.1/+,loxp_5
m,132.1.1/+,loxp_6
m,132.1.1/+,loxp_7
m,132.1.1/+,loxp_8
m,132.1.1/+,loxp_9
m,132.1.1/+,loxp_10
m,132.1.1/+,loxp_11
m,132.1.1/+,loxp_12
m,132.1.1/+,loxp_13
m,132.1.1/+,loxp_14
m,132.1.1/+,loxp_15
m,132.1.1/+,loxp_16
m,132.1.1/+,loxp_17
m,132.1.1/+,loxp_18
m,132.1.1/+,loxp_19
m,132.1.1/+,loxp_20
m,25.1.1/dyscS168,g+dy_1
m,25.1.1/dyscS168,g+dy_2
m,25.1.1/dyscS168,g+dy_3
m,25.1.1/dyscS168,g+dy_4
m,25.1.1/dyscS168,g+dy_5
m,25.1.1/dyscS168,g+dy_6
m,25.1.1/dyscS168,g+dy_7
m,25.1.1/dyscS168,g+dy_8
m,132.1.1/dyscS168,l+dy_1
m,132.1.1/dyscS168,l+dy_2
m,132.1.1/dyscS168,l+dy_3
m,132.1.1/dyscS168,l+dy_4
m,132.1.1/dyscS168,l+dy_5
m,132.1.1/dyscS168,l+dy_6
m,132.1.1/dyscS168,l+dy_7
m,132.1.1/dyscS168,l+dy_8
m,132.1.1/dyscS168,l+dy_9
m,132.1.1/dyscS168,l+dy_10
m,132.1.1/dyscS168,l+dy_11
m,132.1.1/dyscS168,l+dy_12
m,132.1.1/dyscS168,l+dy_13
m,132.1.1/dyscS168,l+dy_14
m,132.1.1/dyscS168,l+dy_15
m,132.1.1/dyscS168,l+dy_16
m,132.1.1/dyscS168,l+dy_17
m,132.1.1/dyscS168,l+dy_18
m,132.1.1/dyscS168,l+dy_19
m,"25.1.1,dyscS168/+","g,dy_1"
m,"25.1.1,dyscS168/+","g,dy_2"
m,"25.1.1,dyscS168/+","g,dy_3"
m,"25.1.1,dyscS168/+","g,dy_4"
m,"25.1.1,dyscS168/+","g,dy_5"
m,"25.1.1,dyscS168/+","g,dy_6"
m,"25.1.1,dyscS168/+","g,dy_7"
m,"25.1.1,dyscS168/+","g,dy_8"
m,"25.1.1,dyscS168/+","g,dy_9"
m,"25.1.1,dyscS168/+","g,dy_10"
m,"25.1.1,dyscS168/+","g,dy_11"
m,"25.1.1,dyscS168/+","g,dy_12"
m,"25.1.1,dyscS168/+","g,dy_13"
m,"25.1.1,dyscS168/+","g,dy_14"
m,"25.1.1,dyscS168/+","g,dy_15"
m,"25.1.1,dyscS168/+","g,dy_16"
m,"25.1.1,dyscS168/+","g,dy_17"
m,"25.1.1,dyscS168/+","g,dy_18"
m,"25.1.1,dyscS168/+","g,dy_19"
m,"25.1.1,dyscS168/+","g,dy_20"
m,"25.1.1,dyscS168/+","g,dy_21"
m,"25.1.1,dyscS168/+","g,dy_22"
m,"132.1.1,dyscS168/+","l,dy_1"
m,"132.1.1,dyscS168/+","l,dy_2"
m,"132.1.1,dyscS168/+","l,dy_3"
m,"132.1.1,dyscS168/+","l,dy_4"
m,"132.1.1,dyscS168/+","l,dy_5"
m,"132.1.1,dyscS168/+","l,dy_6"
m,"132.1.1,dyscS168/+","l,dy_7"
m,"132.1.1,dyscS168/+","l,dy_8"
m,"132.1.1,dyscS168/+","l,dy_9"
m,"132.1.1,dyscS168/+","l,dy_10"
m,"132.1.1,dyscS168/+","l,dy_11"
m,"132.1.1,dyscS168/+","l,dy_12"
m,"132.1.1,dyscS168/+","l,dy_13"
m,"132.1.1,dyscS168/+","l,dy_14"
m,"132.1.1,dyscS168/+","l,dy_15"
m,"132.1.1,dyscS168/+","l,dy_16"
m,"132.1.1,dyscS168/+","l,dy_17"
m,"132.1.1,dyscS168/+","l,dy_18"
